Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
EVERPIA,VT:EVE,EVE.HM,12/17/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Household Goods and Home Construction,Everpia,Active
EVN FINANCE JSC,VT:EVF,EVF.HM,8/7/2018,2018,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Financial Services (Sector),EVN Finance JSC,Active
EVN INTERNATIONAL,VT:EIC,EIC.HNO,2/28/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,EVN International,Active
F I T GROUP,VT:FIT,FIT.HM,7/26/2013,2013,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Financial Services (Sector),F Investment Trust Group,Active
FBA INTERNATIONAL GP.,VT:FBA,FBA.HNO,2/18/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Electronic and Electrical Equipment,FBA International Group,Active
FECON,VT:FCN,FCN.HM,7/24/2012,2012,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,Fecon,Active
FECON MINING,VT:FCM,FCM.HM,5/15/2013,2013,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Mining,Fecon Mining,Active
FIRST REAL JOINT STOCK COMPANY,VT:FIR,FIR.HM,10/18/2018,2018,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,First Real Joint Stock Company,Active
FISCO CORPORATION,VT:FIC,FIC.HNO,8/2/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Fisco Corporation,Active
FLC GROUP,VT:FLC,FLC.HNO,10/5/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Real Estate Investment and Services,FLC Group,Active
FLC MINING INVESTMENT,VT:GAB,GAB.HNO,7/11/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,FLC Mining Investment,Active
FLC STONE MINING AND INVESTMENT,VT:AMD,AMD.HNO,11/11/2014,2014,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,FLC Stone Mining and Investment,Active
FOOD COMPANY OF HO CHI MINH CITY,VT:FCS,FCS.HNO,3/22/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Food Company of Ho Chi Minh City,Active
FOODSTUFF COMBINA TORIAL,VT:FCC,FCC.HNO,3/31/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Foodstuff Combina Torial,Active
FOREST PRODUCTS EXPORT JSC,VT:FRC,FRC.HNO,8/9/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Forestry and Paper,Forest Products Export JSC,Active
FPT,VT:FPT,FPT.HM,5/21/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Fixed Line Telecommunications,FPT,Active
FPT DIGITAL RETAIL,VT:FRT,FRT.HM,4/26/2018,2018,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Retailers,FPT Digital Retail,Active
FPT SECURITIES,VT:FTS,FTS.HM,1/13/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Financial Services (Sector),FPT Securities,Active
FPT TELECOM,VT:FOX,FOX.HNO,1/13/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Fixed Line Telecommunications,FPT Telecom,Active
FRIENDSHIP TRADING - INDUSTRIAL,VT:FTI,FTI.HNO,10/27/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Friendship Trading - Industrial,Active
FRT.DEV.&.INV.,VT:FDC,FDC.HM,1/18/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Industrials,Foreign Trade Development and Investment,Active
FTP ONLINE JOINT STOCK COMPANY,VT:FOC,FOC.HNO,12/10/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Software and Computer Services,FTP Online Joint Stock Company,Active
G C FOOD,VT:GCF,GCF.HNO,12/20/2022,2022,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,G C Food,Active
G SAIGON EDUCATION,VT:SSF,SSF.HNO,7/16/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Personal Goods,G Saigon Education,Active
GARMENT 10 CORPORATION,VT:M10,M10.HNO,1/10/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Retailers,Garment 10 Corporation,Active
GARMEX SAIGON CORPORATION,VT:GMC,GMC.HM,6/20/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Personal Goods,Garmex Saigon Corporation,Active
GELEX ELECTRICITY,VT:GEE,GEE.HNO,3/8/2022,2022,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Electronic and Electrical Equipment,Gelex Electricity,Active
GELEX GROUP,VT:GEX,GEX.HM,10/26/2015,2015,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Gelex Group,Active
GEMADEPT,VT:GMD,GMD.HM,7/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Transportation,Gemadept,Active
GENERAL AVIATION,VT:ARM,ARM.HN,10/26/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Aerospace and Defense,General Aviation,Active
GENERAL DEPARTMENT STORE JSC,VT:TBH,TBH.HNO,8/13/2021,2021,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,General Department Store JSC,Active
GENERAL MATERIAL,VT:HSI,HSI.HNO,12/21/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,General Material,Active
GERU STAR SPORT,VT:GER,GER.HNO,3/31/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Leisure Goods,Geru Star Sport,Active
GIA DINH WATER SUPPLY,VT:GDW,GDW.HN,12/18/2018,2018,Equities,Hanoi,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Gia Dinh Water Supply,Active
GIA LAI COFFEE,VT:FGL,FGL.HNO,9/27/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Gia Lai Coffee,Active
GIA LAI CULTURE-TOURISM,VT:CTC,CTC.HN,7/18/2008,2008,Equities,Hanoi,Vietnam,Vietnamese Dong,Financial Services (Sector),Gia Lai Culture-Tourism,Active
GIA LAI HYDROPOWER,VT:GHC,GHC.HNO,4/26/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Electricity,Gia Lai Hydropower,Active
GIA LAI WATER SUPPLY SEWERAGE,VT:GLW,GLW.HNO,9/6/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Gia Lai Water Supply Sewerage,Active
GIAIPHONG MOTOR,VT:GGG,GGG.HNO,11/16/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Automobiles and Parts,Giaiphong Motor,Active
GIALAI ELECTRICITY,VT:GEG,GEG.HM,3/21/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Electricity,Gialai Electricity,Active
GLOBAL ELECTRICA,VT:GLT,GLT.HN,11/26/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Engineering,Global Electrica,Active
GOLDEN GROUP,VT:TGG,TGG.HM,5/25/2018,2018,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,Golden Group,Active
GREEN DEVELOPMENT AND INVESTMENT SERVICE,VT:GIC,GIC.HN,11/6/2020,2020,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Transportation,Green Development and Investment Service,Active
GREEN PLUS JOINT STOCK CORPORATION,VT:GPC,GPC.HNO,1/6/2023,2023,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,Green Plus Joint Stock Corporation,Active
GUOTAI JUNAN SECURITIES VIETNAM,VT:IVS,IVS.HN,8/1/2011,2011,Equities,Hanoi,Vietnam,Vietnamese Dong,Financial Services (Sector),Guotai Junan Securities Vietnam,Active
HA BAC HUNG PHAT CHEMICAL,VT:HPH,HPH.HNO,6/7/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,Ha BAC Hung Phat Chemical,Active
HA DO GROUP,VT:HDG,HDG.HM,2/2/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Ha do Group,Active
HA DONG ENVM.PUB.SERVICE,VT:MTH,MTH.HNO,5/24/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,Ha Dong Environment Public Service,Active
HA GIANG MINERAL,VT:HGM,HGM.HN,12/21/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,General Industrials,Ha Giang Mineral,Active
HA HAI RAILWAY,VT:HHR,HHR.HNO,10/8/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Ha Hai Railway,Active
HA LONG BEER - BEVERAGE,VT:HLB,HLB.HNO,2/28/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Ha Long Beer - Beverage,Active
HA NOI - NAM DINH BEER,VT:BBM,BBM.HNO,3/2/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Ha Noi - Nam Dinh Beer,Active
HA NOI - THAI BINH BEER,VT:BTB,BTB.HNO,1/13/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Ha Noi - Thai Binh Beer,Active
HA NOI BATTERY JOINT STOCK COMPANY,VT:PHN,PHN.HN,3/13/2019,2019,Equities,Hanoi,Vietnam,Vietnamese Dong,-,Ha Noi Battery Joint Stock Company,Active
HA NOI CONSTRUCTION NO5,VT:CH5,CH5.HNO,6/1/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Ha Noi Construction NO5,Active
HA NOI CPC1 PHARMACEUTICAL,VT:DTP,DTP.HNO,7/9/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Ha Noi CPC1 Pharmaceutical,Active
HA NOI ENTERTAINMENT SERVICES,VT:HES,HES.HNO,12/7/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Travel and Leisure,Ha Noi Entertainment Services,Active
HA NOI FOODSTUFF,VT:HAF,HAF.HNO,8/2/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food and Drug Retailers,Ha Noi Foodstuff,Active
HA NOI GOODS SERVICES AND TRANSPORT,VT:HHN,HHN.HNO,12/5/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Retailers,Ha Noi Goods Services and Transport,Active
HA NOI KIM BAI BEER JOINT STOCK COMPANY,VT:BHK,BHK.HNO,4/27/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Ha Noi Kim Bai Beer Joint Stock Company,Active
HA NOI STH.HSG&URB. DEV.,VT:NHA,NHA.HM,7/13/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Construction and Materials,Ha Noi South HSG and Urban Development,Active
HA NOI TOURIST SERVICE,VT:TSJ,TSJ.HNO,9/28/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Travel and Leisure,Ha Noi Tourist Service,Active
HA NOI TRANSFORMER MNFG. ELEC.MRA.,VT:BTH,BTH.HNO,1/4/2008,2008,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Electronic and Electrical Equipment,Ha Noi Transformer Manufacturing Electric Material,Active
HA NOI TRANSPORT STATION,VT:HNB,HNB.HNO,11/11/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Ha Noi Transport Station,Active
HA NOI WATER SUP,VT:NS2,NS2.HNO,12/6/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Ha Noi Water SUP,Active
HA TAY PETROLIME,VT:PTH,PTH.HNO,3/24/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Oil and Gas Producers,Ha Tay Petrolime,Active
HA TAY PHARMACEUTICAL,VT:DHT,DHT.HN,12/31/2008,2008,Equities,Hanoi,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Ha Tay Pharmaceutical,Active
HA TAY TRADING,VT:HTT,HTT.HNO,7/5/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Ha Tay Trading,Active
HA TINH MINERALS AND TRADING,VT:MTA,MTA.HNO,10/21/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Industrials,Ha Tinh Minerals and Trading,Active
HA TINH PHARMACEUTICAL,VT:HDP,HDP.HNO,3/16/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Ha Tinh Pharmaceutical,Active
HABAC NITROGENOUS FERTILIZER,VT:DHB,DHB.HNO,11/29/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Habac Nitrogenous Fertilizer,Active
HABECO HAI PHONG,VT:HBH,HBH.HNO,8/10/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Habeco Hai Phong,Active
HAI AGROCHEM,VT:HAI,HAI.HNO,7/2/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Hai Agrochem,Active
HAI AN TRAN.&STEVD.,VT:HAH,HAH.HM,3/11/2015,2015,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Transportation,Hai An Transport and Stevedoring,Active
HAI DUONG MINERAL EINEAL PROCESSING JSC,VT:KHD,KHD.HNO,7/20/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Hai Duong Mineral Eineal Processing JSC,Active
HAI DUONG PHARMA,VT:DHD,DHD.HNO,5/8/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Hai Duong Pharma,Active
HAI DUONG PUMP M,VT:CTB,CTB.HN,4/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Engineering,Hai Duong Pump M,Active
HAI DUONG WATER,VT:HDW,HDW.HNO,11/3/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Hai Duong Water,Active
HAI MINH,VT:HMH,HMH.HN,7/28/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Engineering,Hai Minh,Active
HAI PHAT INVESTMENT,VT:HPX,HPX.HM,7/24/2018,2018,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Hai Phat Investment,Active
HAI PHONG CEMENT,VT:HCT,HCT.HN,12/31/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Transportation,Hai Phong Cement,Active
HAI PHONG CUA CAM PORT,VT:CCP,CCP.HNO,3/16/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Hai Phong CUA Cam Port,Active
HAI PHONG ELECT.MECH.,VT:DHP,DHP.HN,3/21/2013,2013,Equities,Hanoi,Vietnam,Vietnamese Dong,Household Goods and Home Construction,Hai Phong Electrical Mechanical,Active
HAI PHONG ELECTR,VT:DNC,DNC.HN,12/23/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Electricity,Hai Phong Electr,Active
HAI PHONG HOANG HA PAPER,VT:HHP,HHP.HM,8/8/2018,2018,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Forestry and Paper,Hai Phong Hoang Ha Paper,Active
HAI PHONG PAINT,VT:HPP,HPP.HNO,8/6/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,Hai Phong Paint,Active
HAI PHONG PETROL,VT:PTS,PTS.HN,12/29/2006,2006,Equities,Hanoi,Vietnam,Vietnamese Dong,Industrial Transportation,Hai Phong Petrol,Active
HAI PHONG PHARMACEUTICAL,VT:DPH,DPH.HNO,3/31/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Hai Phong Pharmaceutical,Active
HAI PHONG PORT TRADING & SERVICES,VT:DVC,DVC.HNO,12/23/2013,2013,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Oil Equipment and Services,Hai Phong Port Trading and Services,Active
HAI PHONG PUB.WKS. &. TSM.SVS.,VT:CDH,CDH.HNO,3/2/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,Hai Phong Public Works and Tourism Services,Active
HAI PHONG SECURITIES,VT:HAC,HAC.HNO,10/18/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Financial Services (Sector),Hai Phong Securities,Active
HAI PHONG THERMAL POWER,VT:HND,HND.HNO,10/5/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Household Goods and Home Construction,Hai Phong Thermal Power,Active
HAI PHONG WATER,VT:HPW,HPW.HNO,12/7/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,"Gas, Water and Multiutilities",Hai Phong Water,Active
HAI PHONG WATERWAY TRAFFIC ASSURANCE,VT:DDH,DDH.HNO,9/16/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Hai Phong Waterway Traffic Assurance,Active
HAIHA CONFECTIONERY,VT:HHC,HHC.HN,11/20/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Food Producers,Haiha Confectionery,Active
HAIPHONG CONSTRUCTION NO3,VT:HC3,HC3.HNO,7/11/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Haiphong Construction NO3,Active
HAIPHONG PACKING,VT:BXH,BXH.HN,11/25/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,Haiphong Packing,Active
HAIPHONG PORT TUGBOAT AND TRANSPORT,VT:TUG,TUG.HNO,2/23/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Haiphong Port Tugboat and Transport,Active
HALANG RAILWAY,VT:HLR,HLR.HNO,11/28/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Halang Railway,Active
HALCOM VIETNAM,VT:HID,HID.HM,7/11/2016,2016,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Halcom Vietnam,Active
HALONG CANNED FOOD,VT:CAN,CAN.HN,4/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Food Producers,Halong Canned Food,Active
HANEL PLASTICS JSC,VT:HNP,HNP.HNO,12/20/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,Hanel Plastics JSC,Active
HANG XANH MOTORS SERVICE,VT:HAX,HAX.HM,12/29/2006,2006,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Retailers,Hang Xanh Motors Service,Active
HANOI - HAI DUON,VT:HAD,HAD.HN,11/16/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Beverages,Hanoi - Hai Duon,Active
HANOI - QUANG BINH BEER,VT:BQB,BQB.HNO,1/15/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Hanoi - Quang Binh Beer,Active
HANOI BEER TRADI,VT:HAT,HAT.HN,10/29/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Beverages,Hanoi Beer Tradi,Active
HANOI BEER-ALCOHOL AND BEVERAGE,VT:BHN,BHN.HM,10/28/2016,2016,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Beverages,Hanoi Beer-Alcohol and Beverage,Active
HANOI CADASTRAL SURVEY JSC,VT:DCH,DCH.HNO,7/24/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Hanoi Cadastral Survey JSC,Active
HANOI CIVIL CONSTRUCTION,VT:XDH,XDH.HNO,3/19/2019,2019,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,Hanoi Civil Construction,Active
HANOI CON.INVESTMENT,VT:HCI,HCI.HNO,3/10/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Hanoi Construction Investment,Active
HANOI CONSTRUCTION CORPORATION,VT:HAN,HAN.HNO,10/20/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Hanoi Construction Corporation,Active
HANOI CONSTRUCTION NO.1,VT:HC1,HC1.HNO,7/27/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Hanoi Construction Number 1,Active
HANOI EDUCATION,VT:EID,EID.HN,8/11/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,-,Hanoi Education,Active
HANOI EDUCATION PUBLISHING SERVICES,VT:EPH,EPH.HNO,1/15/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Media,Hanoi Education Publishing Services,Active
HANOI ERML.MNFG.,VT:HEM,HEM.HNO,1/3/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Hanoi Erml Manufacturing,Active
HANOI FOOD IMPORT - EXPORT,VT:FHN,FHN.HNO,12/29/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Hanoi Food Import - Export,Active
HANOI HAI PHONG BEER,VT:BHP,BHP.HNO,1/21/2013,2013,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Hanoi Hai Phong Beer,Active
HANOI HSG.DEV.&. INV.,VT:HD6,HD6.HNO,11/23/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Household Goods and Home Construction,Hanoi Housing Development and Investment,Active
HANOI INVESTMENT,VT:SHN,SHN.HN,12/16/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,-,Hanoi Investment,Active
HANOI LIQUOR AND BEVERAGE,VT:HNR,HNR.HNO,11/30/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Hanoi Liquor and Beverage,Active
HANOI P&T CON.& INSTAL.,VT:HAS,HAS.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Hanoi P&T Construction and Installation,Active
HANOI PHARMA,VT:DHN,DHN.HNO,4/26/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,Hanoi Pharma,Active
HANOI PLASTICS,VT:NHH,NHH.HM,9/8/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Hanoi Plastics,Active
HANOI PVR INVESTMENT,VT:PVR,PVR.HNO,6/21/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Financial Services (Sector),Hanoi PVR Investment,Active
HANOI RAILWAY TRANSPORT,VT:HRT,HRT.HNO,9/15/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Hanoi Railway Transport,Active
HANOI REINSURANCE,VT:PRE,PRE.HN,12/24/2020,2020,Equities,Hanoi,Vietnam,Vietnamese Dong,Nonlife Insurance,Hanoi Reinsurance,Active
HANOI SEAPRODUCT,VT:SPH,SPH.HNO,5/20/2014,2014,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Hanoi Seaproduct,Active
HANOI SOAP,VT:XPH,XPH.HNO,11/25/2014,2014,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Hanoi Soap,Active
HANOI SYN.PAI.JSC.,VT:HSP,HSP.HNO,5/6/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Hanoi Synthetic Paint Joint Stock Company,Active
HANOI TEXTBOOK P,VT:TPH,TPH.HN,4/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,-,Hanoi Textbook P,Active
HANOI TEXTILE AND GARMENT,VT:HSM,HSM.HNO,4/19/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Hanoi Textile and Garment,Active
HANOI TRADE,VT:HTM,HTM.HNO,5/4/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Hanoi Trade,Active
HANOI TRANSPORT PROJECT,VT:GH3,GH3.HNO,9/5/2022,2022,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,Hanoi Transport Project,Active
HANOI-KINH BAC AGRIC.& FOOD,VT:HKB,-,4/8/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Hanoi-Kinh BAC Agriculture and Food,Active
HANOIMILK,VT:HNM,HNM.HNO,4/2/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Hanoimilk,Active
HAPACO GROUP,VT:HAP,HAP.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Forestry and Paper,Hapaco Group,Active
HAPRO VODKA,VT:HAV,HAV.HNO,1/24/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Hapro Vodka,Active
HAREC INVESTMENT AND TRADE,VT:HRB,HRB.HNO,11/6/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,Harec Investment and Trade,Active
HAU GIANG MATERIALS,VT:HAM,HAM.HNO,8/25/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,HAU Giang Materials,Active
HAU GIANG PHARM.,VT:DHG,DHG.HM,6/7/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Pharmaceuticals and Biotechnology,HAU Giang Pharmaceutical,Active
HAU GIANG WATER SUPPLY AND SEWERAGE,VT:HGW,HGW.HNO,9/5/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,HAU Giang Water Supply and Sewerage,Active
HCD INVESTMENT PRODUCING AND TRADING,VT:HCD,HCD.HM,7/4/2016,2016,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Metals and Mining,HCD Investment Producing and Trading,Active
HESTIA,VT:HSA,HSA.HNO,3/7/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Support Services,Hestia,Active
HFC PETROLEUM,VT:HFC,HFC.HNO,3/15/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Oil and Gas Producers,HFC Petroleum,Active
HIEP PHUOC INDUSTRIAL PARK DIVISION,VT:HPI,HPI.HNO,10/5/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Hiep Phuoc Industrial Park Division,Active
HIGH GRADE BRICK,VT:MCC,MCC.HN,4/26/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,High Grade Brick,Active
HIGHER EDUCATION,VT:HEV,HEV.HN,12/11/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Media,Higher Education,Active
HIPT GROUP,VT:HIG,HIG.HNO,8/24/2009,2009,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Software and Computer Services,Hipt Group,Active
HO CHI MINH CITY BOOK DISTRIBUTION,VT:FHS,FHS.HNO,11/6/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Retailers,Ho Chi Minh City Book Distribution,Active
HO CHI MINH CITY FERRY BRIDGE,VT:HFB,HFB.HNO,5/30/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Construction and Materials,Ho Chi Minh City Ferry Bridge,Active
HO CHI MINH CITY MEDIAL,VT:YTC,YTC.HNO,8/3/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Health Care Equipment and Services,Ho Chi Minh City Medial,Active
