Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
SAIGON CARGO SERVICE,VT:SCS,SCS.HM,7/12/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Transportation,Saigon Cargo Service,Active
SAIGON EXPT.FDST. & APD.,VT:AGX,AGX.HNO,12/1/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food and Drug Retailers,Saigon Export FDST and APD,Active
SAIGON FISHING N,VT:SFN,SFN.HN,4/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,General Industrials,Saigon Fishing N,Active
SAIGON FORESTRY IMPORT EXPORT,VT:FRM,FRM.HNO,4/27/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Forestry and Paper,Saigon Forestry Import Export,Active
SAIGON FUEL,VT:SFC,SFC.HM,12/21/2006,2006,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Retailers,Saigon Fuel,Active
SAIGON GENERAL SERVICE,VT:SVC,SVC.HM,6/1/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Retailers,Saigon General Service,Active
SAIGON GROUND SERVICES,VT:SGN,SGN.HM,12/10/2015,2015,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Transportation,Saigon Ground Services,Active
SAIGON HANOI SECURITIES,VT:SHS,SHS.HN,6/25/2009,2009,Equities,Hanoi,Vietnam,Vietnamese Dong,Financial Services (Sector),Saigon Hanoi Securities,Active
SAIGON HOTEL,VT:SGH,SGH.HN,7/2/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Travel and Leisure,Saigon Hotel,Active
SAIGON MACHINERY SPARE PARTS,VT:SMA,SMA.HM,10/19/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Engineering,Saigon Machinery Spare Participations,Active
SAIGON MARITIME,VT:SHC,SHC.HNO,4/2/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Saigon Maritime,Active
SAIGON PLANT PRO,VT:SPC,SPC.HN,9/9/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,-,Saigon Plant Pro,Active
SAIGON PORT,VT:SGP,SGP.HNO,4/25/2016,2016,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Saigon Port,Active
SAIGON REAL ESTATE GROUP,VT:SGR,SGR.HM,5/22/2015,2015,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Saigon Real Estate Group,Active
SAIGON SEAPRODUCTS IMX.,VT:SSN,SSN.HNO,10/25/2013,2013,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Industrials,Saigon Seaproducts Import Export,Active
SAIGON SHIPPING,VT:SGS,SGS.HNO,12/27/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Saigon Shipping,Active
SAIGON SONGLAM BEER,VT:BSL,BSL.HNO,6/16/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Saigon Songlam Beer,Active
SAIGON THUONG TIN COMMERCIAL,VT:STB,STB.HM,1/1/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Banks,Saigon Thuong Tin Commercial,Active
SAIGON TOURIST TRANSPORT,VT:STT,STT.HNO,7/8/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Travel and Leisure,Saigon Tourist Transport,Active
SAIGON TRANSPORT,VT:STS,STS.HNO,3/30/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Saigon Transport,Active
SAIGON TRANSPORTATION PARKING,VT:TPS,TPS.HNO,12/1/2015,2015,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Saigon Transportation Parking,Active
SAIGON VIENDONG TECH.,VT:SVT,SVT.HM,10/5/2011,2011,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,General Retailers,Saigon Viendong Technology,Active
SAIGON VRG INVESTMENT CORPORATION,VT:SIP,SIP.HM,6/13/2019,2019,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Saigon VRG Investment Corporation,Active
SAIGON-HANOI,VT:BHI,BHI.HNO,8/23/2023,2023,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,Saigon-Hanoi,Active
SAIGON3 GROUP INVESTMENT DEVELOPMENT,VT:SGI,SGI.HNO,9/14/2021,2021,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Unclassified,SAIGON3 Group Investment Development,Active
SAM HOLDINGS CORPORATION,VT:SAM,SAM.HM,5/14/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Sam Holdings Corporation,Active
SAMETEL CORPORATION,VT:SMT,SMT.HN,7/30/2010,2010,Equities,Hanoi,Vietnam,Vietnamese Dong,-,Sametel Corporation,Active
SANNA KHANH HOA BEVERAGE JSC,VT:SKN,SKN.HNO,10/10/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Beverages,Sanna Khanh Hoa Beverage JSC,Active
SAO BAC DAU TECH,VT:SBD,SBD.HNO,2/16/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Fixed Line Telecommunications,Sao BAC Dau Technology,Active
SAO MAI BEN DINH,VT:PSB,PSB.HNO,2/25/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Industrials,Sao Mai Ben Dinh,Active
SAO MAI GROUP,VT:ASM,ASM.HM,1/18/2010,2010,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Food Producers,Sao Mai Group,Active
SAO TA FOODS,VT:FMC,FMC.HM,6/7/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Food Producers,Sao Ta Foods,Active
SAO THANG LONG I,VT:DST,DST.HN,10/16/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,General Retailers,Sao Thang Long I,Active
SAO VANG RUBBER,VT:SRC,SRC.HM,10/7/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Automobiles and Parts,Sao Vang Rubber,Active
SARA,VT:SRB,SRB.HNO,3/31/2008,2008,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Software and Computer Services,Sara,Active
SARA VIETNAM,VT:SRA,SRA.HN,1/18/2008,2008,Equities,Hanoi,Vietnam,Vietnamese Dong,Support Services,Sara Vietnam,Active
SAVIMEX,VT:SAV,SAV.HM,8/1/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Household Goods and Home Construction,Savimex,Active
SCG CONSTRUCTION GROUP JSC,VT:SCG,SCG.HN,4/12/2021,2021,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,SCG Construction Group JSC,Active
SCI,VT:S99,S99.HN,9/4/2007,2007,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,SCI,Active
SCI E&C,VT:SCI,SCI.HN,6/30/2014,2014,Equities,Hanoi,Vietnam,Vietnamese Dong,Construction and Materials,SCI E&C,Active
SDZ.LNG.THANH SHAREHLDG.,VT:SZL,SZL.HM,9/9/2008,2008,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Real Estate Investment and Services,Sonadezi Long Thanh Shareholding,Active
SEA & AIR FREIGHT INTL.,VT:SFI,SFI.HM,4/17/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Transportation,Sea and Air Freight International,Active
SEAFOOD NO4,VT:TS4,TS4.HNO,5/25/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,General Retailers,Seafood NO4,Active
SEAGULL SHIPPING,VT:SSG,SSG.HNO,1/5/2011,2011,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Transportation,Seagull Shipping,Active
SEAPRIMEXCO VIETNAM,VT:CAT,CAT.HNO,3/26/2018,2018,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Seaprimexco Vietnam,Active
SEAPRODEX DANANG,VT:SPD,SPD.HNO,4/22/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Food Producers,Seaprodex Danang,Active
SEAPRODUCTS MECH,VT:SCO,SCO.HNO,9/17/2010,2010,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Industrial Engineering,Seaproducts Mech,Active
SEAREFICO,VT:SRF,SRF.HM,11/16/2009,2009,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,-,Searefico,Active
SESAN 4A HYDROELECTRIC,VT:S4A,S4A.HM,5/27/2016,2016,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Electricity,Sesan 4A Hydroelectric,Active
SHB TRADING INVESTMENT JSC,VT:SCC,SCC.HNO,7/2/2007,2007,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,-,SHB Trading Investment JSC,Active
SIAM BROTHERS VIETNAM,VT:SBV,SBV.HM,5/16/2017,2017,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Engineering,Siam Brothers Vietnam,Active
SIEU THANH,VT:ST8,ST8.HM,12/18/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Technology Hardware and Equipment,Sieu Thanh,Active
SIVICO,VT:SIV,SIV.HNO,5/23/2017,2017,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Chemicals,Sivico,Active
SMARTINVEST SECURITIES,VT:AAS,AAS.HNO,7/23/2020,2020,Equities,Hanoi OTC,Vietnam,Vietnamese Dong,Financial Services (Sector),Smartinvest Securities,Active
SMC TRADING INVESTMENT,VT:SMC,SMC.HM,4/2/2007,2007,Equities,Ho Chi Minh,Vietnam,Vietnamese Dong,Industrial Metals and Mining,SMC Trading Investment,Active
